id;day_of_week;occ_01;occ_02;occ_03;occ_04;occ_05;occ_06;occ_07;occ_08;occ_09;occ_10;occ_11;occ_12;occ_13;occ_14;occ_15;occ_16;occ_17;occ_18;occ_19;occ_20;occ_21;occ_22;occ_23;occ_24
1;En;93;42;81;77;5;53;82;61;60;25;49;47;96;98;23;41;92;80;14;70;79;62;10;48
2;in;18;31;28;65;65;58;84;16;38;69;99;92;78;87;50;21;87;52;89;8;78;31;63;73
3;Ch;67;70;0;13;66;56;18;64;92;2;67;93;37;100;6;15;70;28;100;41;57;18;81;78
4;Av;88;77;50;14;99;2;36;57;75;50;21;63;95;21;29;10;78;60;61;1;72;31;90;62
5;cr;48;81;39;91;70;11;43;37;28;97;96;39;19;77;56;51;90;66;91;33;28;35;86;33
6;Dy;29;44;71;13;99;24;42;8;20;79;73;92;22;57;8;71;58;30;46;67;1;1;32;27
7;wi;14;10;70;70;3;11;49;3;40;8;63;21;45;82;41;11;63;49;66;13;52;17;100;94
8;So;21;98;42;62;50;89;30;2;96;24;57;87;41;81;42;92;78;74;34;50;10;84;94;71
9;Ye;97;4;33;66;94;78;73;17;15;47;37;50;33;89;98;54;93;69;94;91;60;89;78;90
10;bl;73;93;23;12;74;37;61;77;92;64;22;47;84;39;99;11;8;11;90;58;1;53;78;55
